DN,sAMAccountName,manager
"CN=Bronwen Swinburn,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",534353,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Bronwen Symington,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",339654,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Bronwen Thorn,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",345624,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Bronwen Tillinghast,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",904148,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Bronwen Tilton,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",647334,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Bronwen Vielle,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",492396,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Bronwen Waters,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",104705,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Bronwen Way,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",716930,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Bronwen Winterton,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",154183,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Amaker,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",253471,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Belvidere,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",826301,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Bentley,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",950529,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Birch,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",609156,
"CN=Brooke Cadwell,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",835863,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Cary,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",391302,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Chesebrough,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",136956,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Collamore,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",245012,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Conry,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",820308,
"CN=Brooke Corbin,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",BrCorbin,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke D'Oily,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",180424,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Dumfries,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",834033,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Dutton,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",328673,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Dyke,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",968195,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Elphinstone,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",866712,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Evelyn,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",798464,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Fife,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",357781,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Fulham,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",249980,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Goring,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",769093,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Holt,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",130571,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Holywell,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",869114,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Kay,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",451497,
"CN=Brooke Kent,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",745562,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Langton,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",866286,
"CN=Brooke Legh,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",363879,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Livingstone,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",781064,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Moxley,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",747741,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Nance,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",696889,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Northop,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",596771,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Northumberland,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",761755,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Romanno,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",706550,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Root,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",401629,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Shelley,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",654265,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Shuckburgh,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",681593,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Temes,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",526937,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Van Alstyne,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",216202,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Wentworth,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",767319,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Wheaton,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",198163,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brooke Wiltshire,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",474538,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Athill,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",811140,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Berwick,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",707165,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Brougham,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",979905,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Clifton,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",950526,
"CN=Brown Cornwallis,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",860957,
"CN=Brown Cranstoun,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",684490,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Darby,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",577285,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Digby,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",580401,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Durden,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",191707,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Ely,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",362822,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Fairholm,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",352164,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Falun,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",198239,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Gano,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",613652,
"CN=Brown Gloucester,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",BrGloucester,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Hales,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",872095,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Hernshaw,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",169506,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Holmes,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",579737,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Houston,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",502501,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Hyde,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",292230,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Kinloch,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",204261,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Knox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",215210,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Kyle,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",221229,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Lewes,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",685644,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Linne,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",267248,
"CN=Brown Parsall,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",483863,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Pennington,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",767499,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Rowe,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",256138,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Scarret,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",988296,
"CN=Brown Shurtliff,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",337073,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Tabor,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",347168,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Trowbridge,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",244531,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Tuttle,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",314637,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Brown Welby,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",436479,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Alsop,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",191948,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Berwick,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",186610,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Bradford,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",548737,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Breckenridge,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",241502,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Bromley,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",954873,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Crayford,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",200293,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Durden,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",943669,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Flanders,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",775930,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Girvan,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",571165,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Goadby,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",549121,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Goring,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",965958,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Hales,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",356761,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Hanna,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",571033,"CN=Sydney Cox,OU=Phoenix,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Hargill,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",410063,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Hastings,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",820802,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Hatch,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",641219,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Haydyn,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",671125,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Hernshaw,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",915360,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Horton,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",705532,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Ipres,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",901081,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Oxford,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",850402,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Schadeck,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",334944,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Southwell,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",745620,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Strain,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",591546,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Van Amee,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",741289,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Ware,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",896816,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Winch,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",360936,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cade Wolsey,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",544044,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Appleby,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",594457,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Armitage,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",218396,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Beal,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",967081,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Biggar,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",943854,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Brentwood,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",887619,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Butman,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",537127,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Carmichael,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",867213,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Chadsey,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",311071,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Colvin,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",562195,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Conry,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",259088,
"CN=Caitlin Corbin,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",979188,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Falun,OU=London,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",386657,
"CN=Caitlin Ferrers,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",841590,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Fife,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",443109,"CN=Sonia Long,OU=San Francisco,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Hatfield,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",785199,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Hosford,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",387617,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Kay,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",991551,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Lindall,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",402125,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Mansfield,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",137600,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Nance,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",130866,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Paris,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",336134,"CN=Angela Cox,OU=Denver,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Seaforth,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",122723,"CN=Tyler Cox,OU=Moscow,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Caitlin Spalding,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",311418,"CN=Marie Long,OU=Toronto,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cale Annan,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",869629,"CN=Gary Cox,OU=Charolette,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cale Arbuthnot,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",635154,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cale Barry,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",524841,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cale Bridges,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",778337,"CN=Reilly Cox,OU=Minneapolis,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cale Brienne,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",845848,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cale Brougham,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",525209,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cale Contin,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",128111,"CN=Cyrus Long,OU=Redmond,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cale Fothergill,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",417307,"CN=John Long,OU=Seattle,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cale Gaston,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",268287,"CN=Elizabeth Cox,OU=Dallas,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
"CN=Cale Glentworth,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com",249672,"CN=Olivia Cox,OU=New York,OU=Migrated,OU=User Accounts,DC=contoso,DC=com"
